Pixel,Rojo,Verde,Azul
0,21,32,57
1,26,37,62
2,29,38,68
3,29,38,69
4,29,40,72
5,39,49,84
6,56,68,107
7,81,97,138
8,98,117,161
9,103,124,169
10,115,138,185
11,125,146,193
12,132,152,200
13,139,157,205
14,145,163,209
15,152,169,213
16,160,177,219
17,165,182,224
18,170,185,223
19,177,190,225
20,181,194,226
21,187,197,228
22,192,200,229
23,193,202,227
24,193,203,224
25,195,204,224
26,197,205,222
27,197,205,222
28,200,206,221
29,203,207,221
30,204,207,220
31,203,206,215
32,203,205,209
33,202,203,200
34,204,202,189
35,203,198,174
36,203,195,159
37,207,194,142
38,206,187,115
39,206,182,87
40,203,175,60
41,200,167,41
42,199,161,28
43,196,154,18
44,194,147,12
45,192,139,8
46,186,127,5
47,182,118,18
48,179,105,47
49,166,81,85
50,159,64,128
51,140,40,151
52,125,21,165
53,121,17,188
54,118,15,202
55,109,15,209
56,99,18,218
57,82,23,223
58,64,37,230
59,41,55,234
60,23,70,234
61,16,87,237
62,15,100,242
63,13,111,243
64,15,125,247
65,17,132,247
66,21,141,251
67,27,151,255
68,34,161,255
69,44,169,255
70,56,179,255
71,68,186,253
72,77,188,247
73,89,192,242
74,101,197,238
75,114,201,235
76,127,206,232
77,139,210,225
78,149,213,219
79,156,214,209
80,161,217,198
81,165,218,188
82,170,218,174
83,176,218,160
84,179,218,150
85,182,218,143
86,187,218,102
87,192,216,60
88,197,214,40
89,201,210,27
90,205,205,20
91,208,200,16
92,209,194,13
93,211,191,14
94,212,187,13
95,212,183,11
96,215,180,14
97,215,176,24
98,215,171,45
99,212,164,70
100,208,154,96
101,208,145,123
102,205,135,142
103,197,117,151
104,194,104,166
105,192,93,182
106,186,80,190
107,184,70,200
108,177,55,206
109,172,47,215
110,170,42,222
111,168,37,225
112,165,36,226
113,164,37,226
114,165,39,227
115,165,42,225
116,149,54,228
117,126,66,229
118,109,76,229
119,95,83,228
120,78,97,231
121,54,109,229
122,28,122,227
123,10,133,226
124,8,143,224
125,9,151,221
126,11,159,220
127,12,165,212
128,15,172,206
129,17,180,196
130,19,186,189
131,17,190,178
132,17,193,166
133,19,196,152
134,18,198,134
135,16,202,115
136,19,203,97
137,30,202,82
138,45,196,63
139,54,188,48
140,70,184,47
141,68,153,32
142,35,90,0
143,44,78,1
144,54,74,9
145,72,82,27
146,85,86,37
147,97,90,48
148,110,96,62
149,118,97,68
150,120,97,74
151,119,93,77
152,122,92,83
153,123,89,89
154,127,86,95
155,130,83,102
156,131,78,107
157,129,75,111
158,127,71,113
159,126,68,114
160,127,67,117
161,126,66,119
162,126,64,120
163,126,64,121
164,123,61,119
165,121,61,119
166,117,58,117
167,113,56,114
168,109,53,109
169,106,53,107
170,101,50,103
171,97,50,99
172,93,50,95
173,89,52,92
174,83,52,90
175,75,53,83
176,69,56,80
177,62,60,77
178,55,60,70
179,48,62,65
180,43,65,61
181,40,68,56
182,37,71,54
183,34,73,55
184,32,75,56
185,31,78,56
186,30,79,57
187,31,81,57
188,32,81,56
189,34,81,58
190,37,84,64
191,39,84,65
192,40,84,68
193,44,88,74
194,47,88,74
195,50,87,76
196,51,84,74
197,55,83,74
198,57,81,75
199,62,81,79
200,67,79,80
201,72,77,81
202,78,75,83
203,80,73,84
204,81,71,82
205,83,69,82
206,84,67,82
207,85,65,81
208,86,63,80
209,85,61,78
210,85,60,77
211,84,58,75
212,84,58,75
213,83,57,72
214,82,56,70
215,82,56,69
216,82,56,69
217,82,56,69
218,81,57,68
219,81,58,68
220,77,58,67
221,77,61,71
222,77,62,72
223,76,63,72
224,69,61,68
225,67,64,69
226,64,65,69
227,57,65,68
228,56,67,72
229,56,69,73
230,56,71,77
231,55,72,77
232,53,73,77
233,55,74,79
234,56,76,81
235,57,78,82
236,60,81,85
237,66,85,90
238,65,85,90
239,70,87,93
240,73,89,95
241,79,93,99
242,77,90,97
243,53,66,72
244,32,43,52
245,30,39,47
246,37,45,53
247,34,40,48
248,61,67,75
249,92,98,106
250,83,89,97
251,59,65,74
252,40,46,56
253,40,44,54
254,38,42,53
255,36,39,50
256,33,37,48
257,32,36,47
258,32,36,47
259,32,36,49
260,33,36,49
261,34,37,50
262,36,39,52
263,37,41,53
264,39,43,56
265,46,49,62
266,56,61,73
267,68,74,86
268,74,80,92
269,75,81,94
270,77,80,93
271,77,81,94
272,78,81,94
273,80,81,94
274,78,80,91
275,77,80,90
